Designator,Mid X,Mid Y,Layer,Rotation
C1,152.3,-96.9,Top,0
C2,153.6,-104.8,Top,180
C3,158.6,-103.2,Top,0
C4,156.8,-97.8,Top,90
C5,158.8,-97.8,Top,90
C6,148.9482,-115.3018,Top,90
C7,152.3482,-117.8018,Top,0
C8,154.9482,-115.3018,Top,90
D1,151.3,-86,Top,270
D2,164.8,-105.7,Top,180
L1,155.05,-92.4,Top,0
Q1,163.45,-93.7,Top,90
R1,158.4,-108.4,Top,90
R2,158.4,-115.3,Top,-90
R3,147.1,-89.1,Top,0
R4,147.1,-86.6,Top,0
R5,162.485,-89.19,Top,90
R6,164.485,-89.19,Top,270
R7,164.9,-102,Top,90
R8,158.6,-104.8,Top,0
R9,156.1,-102.3,Top,270
R10,156.8,-115.3,Top,270
U2,145,-129.3,Top,0
U3,152.3,-101.9,Top,90
U4,151.9482,-115.3018,Top,180
U5,152.0107,-111.8018,Top,0
U6,167.2607,-117.8018,Top,180
U7,156.9,-111.5,Top,270
